sim_id,stage,error_type,error_message,traceback,timestamp,params
65,CHARGE_SETUP,LumApiError,'Exception [<Global>::appOpened]: Session not found',"Traceback (most recent call last):
  File ""C:\Mac\Home\Desktop\PIN_MZ\PS_Opt_V2\system\sim_handler.py"", line 479, in run_full_simulation
    charge = lumapi.DEVICE(hide=hide_gui)
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 1389, in __init__
    super(DEVICE, self).__init__('device', filename, key, hide, serverArgs, **kwargs)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 1112, in __init__
    self.handle = open(product, key, hide, serverArgs)
                  ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 242, in open
    raise LumApiError(error)
lumapi.LumApiError: 'Exception [<Global>::appOpened]: Session not found'
",2026-03-15 06:29:07,"{""w_r"": 3.7339917805043036e-07, ""h_si"": 1.2194205953944023e-07, ""doping"": 7.647139347714044e+17, ""S"": 5.60168011992178e-07, ""lambda"": 1.2842261809210543e-06, ""length"": 0.0006351647351072474, ""sim_id"": 65}"
63,CHARGE_SETUP,LumApiError,'Exception [<Global>::appOpened]: Session not found',"Traceback (most recent call last):
  File ""C:\Mac\Home\Desktop\PIN_MZ\PS_Opt_V2\system\sim_handler.py"", line 479, in run_full_simulation
    charge = lumapi.DEVICE(hide=hide_gui)
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 1389, in __init__
    super(DEVICE, self).__init__('device', filename, key, hide, serverArgs, **kwargs)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 1112, in __init__
    self.handle = open(product, key, hide, serverArgs)
                  ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 242, in open
    raise LumApiError(error)
lumapi.LumApiError: 'Exception [<Global>::appOpened]: Session not found'
",2026-03-15 08:02:50,"{""w_r"": 4.6413928075764514e-07, ""h_si"": 1.0059644549960987e-07, ""doping"": 3.375266815567908e+17, ""S"": 9.979181394376066e-08, ""lambda"": 1.3178035365843249e-06, ""length"": 0.0009020197353764443, ""sim_id"": 63}"
64,CHARGE_SETUP,LumApiError,'Exception [<Global>::appOpened]: Session not found',"Traceback (most recent call last):
  File ""C:\Mac\Home\Desktop\PIN_MZ\PS_Opt_V2\system\sim_handler.py"", line 479, in run_full_simulation
    charge = lumapi.DEVICE(hide=hide_gui)
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 1389, in __init__
    super(DEVICE, self).__init__('device', filename, key, hide, serverArgs, **kwargs)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 1112, in __init__
    self.handle = open(product, key, hide, serverArgs)
                  ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 242, in open
    raise LumApiError(error)
lumapi.LumApiError: 'Exception [<Global>::appOpened]: Session not found'
",2026-03-15 08:02:55,"{""w_r"": 3.6724280389092996e-07, ""h_si"": 1.0597248305543735e-07, ""doping"": 7.711782528815186e+17, ""S"": 6.831551373926995e-07, ""lambda"": 1.2906055812077564e-06, ""length"": 0.00012305539352410727, ""sim_id"": 64}"
68,CHARGE_SETUP,LumApiError,'Exception [<Global>::appOpened]: Session not found',"Traceback (most recent call last):
  File ""C:\Mac\Home\Desktop\PIN_MZ\PS_Opt_V2\system\sim_handler.py"", line 479, in run_full_simulation
    charge = lumapi.DEVICE(hide=hide_gui)
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 1389, in __init__
    super(DEVICE, self).__init__('device', filename, key, hide, serverArgs, **kwargs)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 1112, in __init__
    self.handle = open(product, key, hide, serverArgs)
                  ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Program Files\Lumerical\v231\api\python\lumapi.py"", line 242, in open
    raise LumApiError(error)
lumapi.LumApiError: 'Exception [<Global>::appOpened]: Session not found'
",2026-03-15 08:58:29,"{""w_r"": 4.4284445899414625e-07, ""h_si"": 7.569337414449966e-08, ""doping"": 5.409855940759758e+17, ""S"": 6.790013282364493e-07, ""lambda"": 1.3187717142233853e-06, ""length"": 0.00037920022963178494, ""sim_id"": 68}"
